[2015-01-10 08:00:00  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:00:00  - Info ] Creada coleccion.
[2015-01-10 08:00:00  - Info ] Inicio carga de datos.
[2015-01-10 08:00:00  - Info ] Creando índice.
[2015-01-10 08:00:00  - Info ] Creado índice.
[2015-01-10 08:00:00  - Info ] Fin carga de datos.
[2015-01-10 08:00:00  - Info ] Inicio creación índices.
[2015-01-10 08:00:00  - Info ] Fin creación índices.
[2015-01-10 08:01:24  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:01:24  - Info ] Creada conexión a base de datos
[2015-01-10 08:01:24  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:01:24  - Info ] Creada coleccion.
[2015-01-10 08:01:24  - Info ] Inicio carga de datos.
[2015-01-10 08:01:24  - Info ] Creando índice.
[2015-01-10 08:01:24  - Info ] Creado índice.
[2015-01-10 08:01:24  - Info ] Fin carga de datos.
[2015-01-10 08:01:24  - Info ] Inicio creación índices.
[2015-01-10 08:01:24  - Info ] Fin creación índices.
[2015-01-10 08:17:51  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:17:51  - Info ] Creada conexión a base de datos
[2015-01-10 08:17:51  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:17:51  - Info ] Creada coleccion.
[2015-01-10 08:17:51  - Info ] Inicio carga de datos.
[2015-01-10 08:17:51  - Info ] Creando índice.
[2015-01-10 08:17:51  - Info ] Creado índice.
[2015-01-10 08:17:51  - Info ] Fin carga de datos.
[2015-01-10 08:17:51  - Info ] Inicio creación índices.
[2015-01-10 08:17:51  - Info ] Fin creación índices.
[2015-01-10 08:18:20  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:18:20  - Info ] Creada conexión a base de datos
[2015-01-10 08:18:20  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:18:20  - Info ] Creada coleccion.
[2015-01-10 08:18:20  - Info ] Inicio carga de datos.
[2015-01-10 08:18:20  - Info ] Creando índice.
[2015-01-10 08:18:20  - Info ] Creado índice.
[2015-01-10 08:18:20  - Info ] Fin carga de datos.
[2015-01-10 08:18:20  - Info ] Inicio creación índices.
[2015-01-10 08:18:20  - Info ] Fin creación índices.
[2015-01-10 08:19:02  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:19:02  - Info ] Creada conexión a base de datos
[2015-01-10 08:19:02  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:19:02  - Info ] Creada coleccion.
[2015-01-10 08:19:02  - Info ] Inicio carga de datos.
[2015-01-10 08:19:02  - Info ] Creando índice.
[2015-01-10 08:19:02  - Info ] Creado índice.
[2015-01-10 08:19:02  - Info ] Fin carga de datos.
[2015-01-10 08:19:02  - Info ] Inicio creación índices.
