[2015-01-22 19:17:34  - Info ] Inicio test: MON_2 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:38  - Info ] Número de ocurrencias encontradas: 378231
[2015-01-22 19:17:38  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:38  - Info ] Inicio test: MON_3 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:38  - Info ] Número de ocurrencias encontradas: 38038
[2015-01-22 19:17:38  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:38  - Info ] Inicio test: MON_4 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:42  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:17:42  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:42  - Info ] Inicio test: MON_5 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:42  - Info ] Número de ocurrencias encontradas: 1
[2015-01-22 19:17:42  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:42  - Info ] Inicio test: MON_6 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:42  - Info ] Número de ocurrencias encontradas: 2433
[2015-01-22 19:17:42  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:42  - Info ] Inicio test: MON_7 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:42  - Info ] Número de ocurrencias encontradas: 2943
[2015-01-22 19:17:42  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:42  - Info ] Inicio test: MON_8 fichero: 500000.txt en colección: coleccion_500000
[2015-01-22 19:17:42  - Info ] Número de ocurrencias encontradas: 73208
[2015-01-22 19:17:42  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:42  - Info ] Inicio test: MON_1 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:47  - Info ] Número de ocurrencias encontradas: 145206
[2015-01-22 19:17:47  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:47  - Info ] Inicio test: MON_2 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:53  - Info ] Número de ocurrencias encontradas: 454181
[2015-01-22 19:17:53  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:53  - Info ] Inicio test: MON_3 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:53  - Info ] Número de ocurrencias encontradas: 45504
[2015-01-22 19:17:53  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:53  - Info ] Inicio test: MON_4 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:57  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:17:57  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:57  - Info ] Inicio test: MON_5 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:57  - Info ] Número de ocurrencias encontradas: 5
[2015-01-22 19:17:57  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:57  - Info ] Inicio test: MON_6 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:57  - Info ] Número de ocurrencias encontradas: 2941
[2015-01-22 19:17:57  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:57  - Info ] Inicio test: MON_7 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:57  - Info ] Número de ocurrencias encontradas: 3393
[2015-01-22 19:17:57  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:57  - Info ] Inicio test: MON_8 fichero: 600000.txt en colección: coleccion_600000
[2015-01-22 19:17:57  - Info ] Número de ocurrencias encontradas: 87511
[2015-01-22 19:17:57  - Info ] Registro actualizado correctamente
[2015-01-22 19:17:57  - Info ] Inicio test: MON_1 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:03  - Info ] Número de ocurrencias encontradas: 168801
[2015-01-22 19:18:03  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:03  - Info ] Inicio test: MON_2 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:10  - Info ] Número de ocurrencias encontradas: 530507
[2015-01-22 19:18:10  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:10  - Info ] Inicio test: MON_3 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:10  - Info ] Número de ocurrencias encontradas: 52840
[2015-01-22 19:18:10  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:10  - Info ] Inicio test: MON_4 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:13  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:18:13  - Info ] Registro actualizado correctamente
